Product Name,Current Factory,Scenario Factory,Region,Ship Mode,Predicted Lead Time,Current Lead Time,Lead Time Reduction,Lead Time Reduction %
Everlasting Gobstopper,Secret Factory,Sugar Shack,Gulf,Standard Class,1213.0780652282251,1394.6666666666667,181.58860143844163,13.020215208301265
Fizzy Lifting Drinks,Sugar Shack,Sugar Shack,Interior,First Class,1087.4671894326777,1273.5,186.03281056732226,14.607994547885534
Fun Dip,Sugar Shack,The Other Factory,Interior,Second Class,1199.1364335092078,1272.6666666666667,73.53023315745895,5.777650588590279
Hair Toffee,The Other Factory,Secret Factory,Pacific,First Class,1300.015570115159,1455.25,155.2344298848409,10.667200129520076
Kazookles,The Other Factory,The Other Factory,Gulf,Second Class,1159.5797709030098,1272.9895833333333,113.40981243032343,8.908934834592985
Laffy Taffy,Sugar Shack,Sugar Shack,Gulf,Standard Class,1095.5698083590291,1383.1,287.53019164097077,20.78882160660623
Lickable Wallpaper,Secret Factory,Secret Factory,Interior,Standard Class,1177.8131752136753,1339.1382978723404,161.32512265866512,12.046935175775564
Nerds,Sugar Shack,Sugar Shack,Atlantic,Standard Class,951.5489663865546,1274.0,322.45103361344536,25.31012822711502
SweeTARTS,Sugar Shack,Sugar Shack,Atlantic,Standard Class,1161.3497115743096,1383.5,222.1502884256904,16.057122401567792
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Gulf,Standard Class,1200.4226727497523,1314.2420242024202,113.81935145266789,8.660455940125788
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Interior,Standard Class,1289.2426556370615,1316.7646233036967,27.52196766663519,2.0901205256854447
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Interior,Standard Class,1283.3419733917538,1328.9154696132596,45.57349622150582,3.4293751004921784
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Interior,Standard Class,1265.6677944394778,1325.6610421836228,59.99324774414504,4.525534494498264
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Interior,Standard Class,1294.1258516607702,1320.6419573643411,26.51610570357093,2.0078194211313867
Wonka Gum,Secret Factory,Sugar Shack,Gulf,Standard Class,1203.7677037992921,1306.525,102.75729620070797,7.864931493902372
